"exp_rep","media_type2","strain","str_med2","str_med2_rep","mintime","peak growth rate","peak growth time","doubling time","lag time","max y","max y time"
"exp1031_dccAB_acomp_bhis_3","bhis","cAB_acomp","cAB_acomp_bhis","cAB_acomp_bhis_3",0,0.0984886178367385,5.67254162316651,7.03784047115936,3.02169503334674,0.57456227686707,9.5
"exp1031_dccAB_acomp_bhis_dc_01_3","bhis_dc_01","cAB_acomp","cAB_acomp_bhis_dc_01","cAB_acomp_bhis_dc_01_3",10.2,0.0127485994716125,16.0885541325999,54.370457092435,12.6482636848613,0.0904407421533974,19
"exp1031_dccAB_bcomp_bhis_3","bhis","cAB_bcomp","cAB_bcomp_bhis","cAB_bcomp_bhis_3",0,0.101923304766874,6.03526640282893,6.80067411614408,3.24982567223518,0.586446872149735,9.5
"exp1031_dccAB_bcomp_bhis_dc_01_3","bhis_dc_01","cAB_bcomp","cAB_bcomp_bhis_dc_01","cAB_bcomp_bhis_dc_01_3",2.2,0.0302566486161008,9.84749585952751,22.9089212541237,7.15409928986579,0.174993626898726,12.7
"exp1031_dccAB_bhis_3","bhis","cAB","cAB_bhis","cAB_bhis_3",0,0.102013499855778,5.79242231140632,6.79466130992354,3.20919899314814,0.5794471037555,9.5
"exp1031_dccA_bhis_3","bhis","cA","cA_bhis","cA_bhis_3",0,0.105752122767244,6.15125071165282,6.55445169725371,3.44383764644746,0.583747474080745,9.5
"exp1031_dccA_bhis_dc_01_3","bhis_dc_01","cA","cA_bhis_dc_01","cA_bhis_dc_01_3",4.2,0.0290911768015931,10.3988121286931,23.8267150650979,7.52364323902053,0.211279149638193,14.3
"exp1031_dccA_comp_bhis_3","bhis","cA_comp","cA_comp_bhis","cA_comp_bhis_3",0,0.103925539005432,5.39130961501555,6.66965201425337,2.94111384776459,0.5961913448478,9.3
"exp1031_dccA_comp_bhis_dc_01_3","bhis_dc_01","cA_comp","cA_comp_bhis_dc_01","cA_comp_bhis_dc_01_3",1.5,0.0395129454610532,9.13265173760058,17.5422806999585,6.08006406301911,0.236894213078244,12
"exp1031_dccB_bhis_3","bhis","cB","cB_bhis","cB_bhis_3",0,0.104019598493278,5.99138021415649,6.6636209964292,3.20847817038869,0.61356902130482,9.8
"exp1031_dccB_comp_bhis_3","bhis","cB_comp","cB_comp_bhis","cB_comp_bhis_3",0,0.100379142991791,5.73317181473788,6.90529087916828,3.14284392453159,0.578540803074384,9.5
"exp1031_dccB_comp_bhis_dc_01_3","bhis_dc_01","cB_comp","cB_comp_bhis_dc_01","cB_comp_bhis_dc_01_3",6.2,0.0263995294480882,10.8744358138798,26.2560430072416,9.02566522591593,0.174292400596218,15.5
"exp1031_dcwt_bhis_3","bhis","wt","wt_bhis","wt_bhis_3",0,0.107130901031439,5.95363096000025,6.47009568561856,3.24026016624722,0.610512547761464,9.7
"exp1031_dcwt_bhis_dc_01_3","bhis_dc_01","wt","wt_bhis_dc_01","wt_bhis_dc_01_3",1.2,0.0346462521543776,8.55468389282117,20.0064115873603,5.13618563869666,0.241176340842444,11.8
"exp1107_dccAB_acomp_bhis_4","bhis","cAB_acomp","cAB_acomp_bhis","cAB_acomp_bhis_4",0,0.122973294369197,5.81174718494259,5.63656673683103,3.15003043645123,0.712001187184499,9.8
"exp1107_dccAB_bcomp_bhis_4","bhis","cAB_bcomp","cAB_bcomp_bhis","cAB_bcomp_bhis_4",0,0.120916588710072,5.48133453544649,5.73244075072231,2.97576214162788,0.681851539862262,9.3
"exp1107_dccAB_bcomp_bhis_dc_01_4","bhis_dc_01","cAB_bcomp","cAB_bcomp_bhis_dc_01","cAB_bcomp_bhis_dc_01_4",4.8,0.0333560416135913,11.0468119569392,20.7802588985114,8.17514215515571,0.227379544520625,14.8
