"Time","wellID","od","rowID","colID","abx","abx_conc","strain","replicate","abx_cond","str_abx_cond"
20.1686111111111,"A1",0.6531,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
20.3352777777778,"A1",0.6494,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
20.5019444444444,"A1",0.6459,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
20.6686111111111,"A1",0.638,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
20.8352777777778,"A1",0.629,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
21.0019444444444,"A1",0.6198,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
21.1688888888889,"A1",0.6156,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
21.3355555555556,"A1",0.604,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
21.5022222222222,"A1",0.6022,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
21.6688888888889,"A1",0.5836,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
21.8355555555556,"A1",0.5771,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
22.0022222222222,"A1",0.5632,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
22.1688888888889,"A1",0.5546,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
22.3355555555556,"A1",0.5446,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
22.5022222222222,"A1",0.536,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
22.6688888888889,"A1",0.5292,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
22.8355555555556,"A1",0.5234,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
23.0022222222222,"A1",0.5175,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
23.1688888888889,"A1",0.5111,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
23.3355555555556,"A1",0.5126,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
23.5025,"A1",0.5056,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
23.6691666666667,"A1",0.505,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
23.8358333333333,"A1",0.5022,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
24.0025,"A1",0.5074,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
0,"B1",0.0334,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
0.166666666666667,"B1",0.0334,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
0.333333333333333,"B1",0.037,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
0.5,"B1",0.0332,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
0.666666666666667,"B1",0.0338,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
0.833333333333333,"B1",0.0349,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
1,"B1",0.0345,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
1.16694444444444,"B1",0.0354,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
1.33361111111111,"B1",0.0355,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
1.50027777777778,"B1",0.0368,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
1.66694444444444,"B1",0.0389,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
