"Time","wellID","od","rowID","colID","abx","abx_conc","strain","abx_cond","str_abx_cond"
13.3355555555556,"A1",0.7674,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
13.5022222222222,"A1",0.7681,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
13.6688888888889,"A1",0.77,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
13.8355555555556,"A1",0.77075,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
14.0022222222222,"A1",0.769475,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
14.1688888888889,"A1",0.77125,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
14.3358333333333,"A1",0.77475,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
14.5025,"A1",0.773575,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
14.6691666666667,"A1",0.774275,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
14.8358333333333,"A1",0.774925,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
15.0025,"A1",0.774375,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
15.1691666666667,"A1",0.7761,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
15.3358333333333,"A1",0.778825,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
15.5025,"A1",0.777975,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
15.6691666666667,"A1",0.775575,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
15.8358333333333,"A1",0.77555,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
16.0025,"A1",0.774675,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
16.1691666666667,"A1",0.77655,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
16.3358333333333,"A1",0.778575,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
16.5025,"A1",0.775025,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
16.6694444444444,"A1",0.774125,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
16.8361111111111,"A1",0.771075,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
17.0027777777778,"A1",0.7701,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
17.1694444444444,"A1",0.771125,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
17.3361111111111,"A1",0.766775,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
17.5027777777778,"A1",0.7643,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
17.6694444444444,"A1",0.7627,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
